simulation,kraftstoff,energie,arbeitskosten,kreditzins,kraftstoff_aenderung_prozent,energie_aenderung_prozent,arbeitskosten_aenderung_prozent,kreditzins_aenderung_prozentpunkte
59,174.1,144.5,137.824842105,4.21,3.3234421365,-0.207182320442,3.25273038909,-0.15
60,168.3,143.4,136.684714833,4.32,-0.118694362018,-0.966850828729,2.39859370297,-0.04
61,174.5,143.8,138.648217105,4.55,3.56083086053,-0.690607734807,3.86956923748,0.19
62,177.5,143.7,136.684714833,4.3,5.3412462908,-0.759668508287,2.39859370297,-0.06
63,177.5,144.5,135.295494737,4.21,5.3412462908,-0.207182320442,1.35784686952,-0.15
64,169.2,144,138.648217105,4.3,0.415430267062,-0.552486187845,3.86956923748,-0.06
65,161.6,144.5,125.070398149,4.23,-4.09495548961,-0.207182320442,-6.30237696994,-0.13
66,176,143.7,122.121664327,4.3,4.45103857567,-0.759668508287,-8.51144765439,-0.06
67,174.5,144.8,158.476199458,4.3,3.56083086053,0,18.7238820361,-0.06
68,170.1,144.8,135.295494737,4.29,0.949554896142,0,1.35784686952,-0.07
69,170.2,143.5,137.824842105,4.27,1.00890207715,-0.897790055249,3.25273038909,-0.09
70,174.6,144.8,138.648217105,4.36,3.62017804154,0,3.86956923748,0
71,168.3,144,136.684714833,4.27,-0.118694362018,-0.552486187845,2.39859370297,-0.09
72,166.1,144.2,122.121664327,4.44,-1.42433234421,-0.414364640884,-8.51144765439,0.08
73,169.4,144.2,138.648217105,4.3,0.53412462908,-0.414364640884,3.86956923748,-0.06
74,166.2,143.2,135.295494737,4.23,-1.3649851632,-1.10497237569,1.35784686952,-0.13
75,164.8,144.5,144.551595951,4.3,-2.19584569733,-0.207182320442,8.29213903749,-0.06
76,165.4,144.3,144.551595951,4.47,-1.83976261128,-0.345303867403,8.29213903749,0.11
77,169.2,143.8,124.919575439,4.44,0.415430267062,-0.690607734807,-6.4153671714,0.08
78,169.3,144.6,137.824842105,4.27,0.474777448071,-0.138121546961,3.25273038909,-0.09
79,168.6,144.3,124.919575439,4.6,0.0593471810089,-0.345303867403,-6.4153671714,0.24
80,167.4,144.9,125.070398149,4.27,-0.652818991098,0.0690607734807,-6.30237696994,-0.09
81,173,144.9,124.919575439,4.3,2.6706231454,0.0690607734807,-6.4153671714,-0.06
82,170.1,143.9,138.648217105,4.27,0.949554896142,-0.621546961326,3.86956923748,-0.09
83,165.7,144.9,144.551595951,4.32,-1.66172106825,0.0690607734807,8.29213903749,-0.04
84,161.6,144.5,135.295494737,4.39,-4.09495548961,-0.207182320442,1.35784686952,0.03
85,156.1,143.4,144.551595951,4.39,-7.3590504451,-0.966850828729,8.29213903749,0.03
86,170,143.9,158.476199458,4.27,0.890207715134,-0.621546961326,18.7238820361,-0.09
87,161.3,144.5,158.476199458,4.46,-4.27299703264,-0.207182320442,18.7238820361,0.1
88,153.9,143.5,122.121664327,4.3,-8.6646884273,-0.897790055249,-8.51144765439,-0.06
89,177.5,145.8,138.648217105,4.42,5.3412462908,0.690607734807,3.86956923748,0.06
90,164.8,144.9,125.070398149,4.55,-2.19584569733,0.0690607734807,-6.30237696994,0.19
91,167.5,147.3,122.121664327,4.46,-0.593471810089,1.72651933702,-8.51144765439,0.1
92,163.3,143.8,125.070398149,4.27,-3.08605341246,-0.690607734807,-6.30237696994,-0.09
93,169.4,145.1,158.476199458,4.21,0.53412462908,0.207182320442,18.7238820361,-0.15
94,166.4,144.5,122.121664327,4.35,-1.24629080119,-0.207182320442,-8.51144765439,-0.01
95,167.8,147.9,128.393411802,4.27,-0.415430267062,2.1408839779,-3.81291115555,-0.09
96,161.3,144,158.476199458,4.3,-4.27299703264,-0.552486187845,18.7238820361,-0.06
97,169.3,144.5,137.824842105,4.39,0.474777448071,-0.207182320442,3.25273038909,0.03
98,166.1,147.1,144.551595951,4.3,-1.42433234421,1.58839779006,8.29213903749,-0.06
99,168.6,145.7,138.648217105,4.27,0.0593471810089,0.621546961326,3.86956923748,-0.09
100,168.4,144.3,124.919575439,4.46,-0.0593471810089,-0.345303867403,-6.4153671714,0.1
101,173,144,144.551595951,4.35,2.6706231454,-0.552486187845,8.29213903749,-0.01
102,153.9,143.3,125.070398149,4.44,-8.6646884273,-1.03591160221,-6.30237696994,0.08
103,169.3,144.7,144.551595951,4.41,0.474777448071,-0.0690607734807,8.29213903749,0.05
104,169.2,141,137.824842105,4.39,0.415430267062,-2.62430939227,3.25273038909,0.03
105,168.7,144.6,144.551595951,4.24,0.118694362018,-0.138121546961,8.29213903749,-0.12
106,156.1,143.5,128.393411802,4.44,-7.3590504451,-0.897790055249,-3.81291115555,0.08
107,169.2,140.4,137.824842105,4.35,0.415430267062,-3.03867403315,3.25273038909,-0.01
108,176,143.4,138.648217105,4.47,4.45103857567,-0.966850828729,3.86956923748,0.11
109,159.8,143.2,125.070398149,4.31,-5.16320474777,-1.10497237569,-6.30237696994,-0.05
110,171.2,143.7,137.824842105,4.6,1.60237388724,-0.759668508287,3.25273038909,0.24
111,167.1,144.4,158.476199458,4.45,-0.830860534125,-0.276243093923,18.7238820361,0.09
112,163.7,143.7,158.476199458,4.47,-2.84866468843,-0.759668508287,18.7238820361,0.11
113,162.6,144.6,138.648217105,4.6,-3.50148367953,-0.138121546961,3.86956923748,0.24
114,174.1,144.4,137.824842105,4.55,3.3234421365,-0.276243093923,3.25273038909,0.19
115,167.3,141.4,135.295494737,4.46,-0.712166172107,-2.34806629834,1.35784686952,0.1
116,176,144.8,137.824842105,4.31,4.45103857567,0,3.25273038909,-0.05
117,167.5,145.2,122.121664327,4.24,-0.593471810089,0.276243093923,-8.51144765439,-0.12
118,190.9,144.6,124.919575439,4.27,13.293768546,-0.138121546961,-6.4153671714,-0.09
119,175.7,144.8,128.393411802,4.6,4.27299703264,0,-3.81291115555,0.24
120,164.8,144.2,124.919575439,4.47,-2.19584569733,-0.414364640884,-6.4153671714,0.11
121,175.7,148.6,158.476199458,4.27,4.27299703264,2.62430939227,18.7238820361,-0.09
122,163.7,142.8,125.070398149,4.29,-2.84866468843,-1.38121546961,-6.30237696994,-0.07
123,176,143.5,125.070398149,4.47,4.45103857567,-0.897790055249,-6.30237696994,0.11
124,169.9,144.9,138.648217105,4.29,0.830860534125,0.0690607734807,3.86956923748,-0.07
125,167.8,144.5,137.824842105,4.44,-0.415430267062,-0.207182320442,3.25273038909,0.08
126,172.4,141,135.295494737,4.47,2.31454005935,-2.62430939227,1.35784686952,0.11
127,176,144.5,125.070398149,4.24,4.45103857567,-0.207182320442,-6.30237696994,-0.12
128,159.8,145.5,125.070398149,4.38,-5.16320474777,0.483425414365,-6.30237696994,0.02
129,165.5,141,137.824842105,4.27,-1.78041543027,-2.62430939227,3.25273038909,-0.09
130,163.7,144,136.684714833,4.42,-2.84866468843,-0.552486187845,2.39859370297,0.06
131,190.9,147.9,144.551595951,4.32,13.293768546,2.1408839779,8.29213903749,-0.04
132,165,143.9,125.070398149,4.46,-2.07715133531,-0.621546961326,-6.30237696994,0.1
133,162.2,143.7,138.648217105,4.27,-3.73887240356,-0.759668508287,3.86956923748,-0.09
134,176,144.8,136.684714833,4.23,4.45103857567,0,2.39859370297,-0.13
